Source;Target;Label;Highway;Length;Type
66;24;Rua Olímpio Nicolau Rui Fernandes;secondary;84.79;Undirected
375;67;Avenida Sá da Bandeira;secondary;327.86;Undirected
67;303;Avenida Sá da Bandeira;secondary;94.33;Undirected
128;231;Rua Infante Dom Henrique;residential;81.0;Undirected
231;137;Rua Infante Dom Henrique;residential;33.31;Undirected
376;185;Circular Interna de Coimbra;secondary;52.87;Undirected
185;377;Circular Interna de Coimbra;secondary;523.23;Undirected
378;379;Avenida Inês de Castro;primary;697.48;Undirected
180;380;Largo do Mercado Municipal Dom Pedro V;residential;21.88;Undirected
38;175;Rua de São Pedro;residential;83.89;Undirected
175;1;Rua de São Pedro;residential;34.47;Undirected
161;38;Rua de São João;residential;105.76;Undirected
76;381;Rua da Alegria;residential;127.86;Undirected
71;30;Rua Venâncio Rodrigues;residential;147.13;Undirected
331;382;Travessa da Rua Coelho da Rocha;residential;42.4;Undirected
383;329;UNAMED;primary;10.63;Undirected
329;384;UNAMED;primary;10.51;Undirected
384;385;UNAMED;primary;14.11;Undirected
385;386;UNAMED;primary;11.41;Undirected
386;387;UNAMED;primary;20.75;Undirected
387;383;UNAMED;primary;5.44;Undirected
388;385;Avenida João das Regras;secondary;31.24;Undirected
384;388;Avenida João das Regras;secondary;30.03;Undirected
328;389;Rua Guarda Inglesa;primary;44.17;Undirected
386;327;Avenida João das Regras;primary;43.7;Undirected
387;378;UNAMED;primary;33.45;Undirected
390;99;Avenida João das Regras;primary;18.28;Undirected
99;391;Avenida João das Regras;primary;182.14;Undirected
390;328;UNAMED;primary;26.43;Undirected
328;312;UNAMED;primary;32.62;Undirected
312;169;UNAMED;primary;6.7;Undirected
169;392;UNAMED;primary;23.78;Undirected
392;183;UNAMED;primary;13.46;Undirected
183;390;UNAMED;primary;7.12;Undirected
389;393;Rua Guarda Inglesa;primary;393.31;Undirected
117;392;UNAMED;primary;45.17;Undirected
388;394;Avenida João das Regras;secondary;60.44;Undirected
98;142;UNAMED;secondary;159.03;Undirected
395;376;Circular Interna de Coimbra;secondary;51.89;Undirected
61;395;Circular Interna de Coimbra;secondary;73.94;Undirected
396;178;Rua da Fonte Nova;residential;171.71;Undirected
178;171;Rua do Colégio Novo;residential;105.45;Undirected
171;167;Rua do Colégio Novo;residential;87.02;Undirected
173;68;Couraça dos Apóstolos;residential;77.85;Undirected
86;82;Avenida Fernão de Magalhães;secondary;21.78;Undirected
397;398;Avenida Fernão de Magalhães;secondary;28.59;Undirected
112;85;Avenida Fernão de Magalhães;secondary;65.04;Undirected
398;298;Avenida Fernão de Magalhães;secondary;68.22;Undirected
228;239;Largo da Conchada;residential;19.59;Undirected
239;333;Largo da Conchada;residential;16.54;Undirected
333;233;Largo da Conchada;residential;6.48;Undirected
72;59;Praça da República;secondary;31.58;Undirected
139;87;Rua da Saragoça;residential;26.38;Undirected
21;360;Rua da Sofia;secondary;76.45;Undirected
360;22;Rua da Sofia;secondary;158.35;Undirected
116;282;Rua de Simões de Castro;residential;70.89;Undirected
282;214;Rua de Simões de Castro;residential;95.58;Undirected
214;213;Rua de Simões de Castro;residential;5.47;Undirected
26;65;Praça da República;secondary;70.44;Undirected
256;399;Avenida Emídio Navarro;secondary;38.18;Undirected
27;400;Rua Lourenço de Almeida Azevedo;tertiary;281.05;Undirected
401;374;Caminho da Casa do Sal;residential;33.2;Undirected
374;402;Caminho da Casa do Sal;residential;33.26;Undirected
369;145;Rua Abel Dias Urbano;residential;15.41;Undirected
144;369;Rua Abel Dias Urbano;residential;16.39;Undirected
145;193;UNAMED;residential;8.05;Undirected
403;196;UNAMED;residential;16.3;Undirected
193;144;UNAMED;residential;9.88;Undirected
404;113;Avenida Fernão de Magalhães;secondary;86.24;Undirected
132;405;Rua da Figueira da Foz;secondary;90.2;Undirected
406;407;Rua da Figueira da Foz;secondary;11.48;Undirected
405;406;Rua da Figueira da Foz;secondary;32.16;Undirected
408;409;Rua do Padrão;secondary;22.54;Undirected
395;372;Rua Costa Simões;secondary;107.27;Undirected
287;8;Rua Santa Teresa;secondary;80.75;Undirected
297;39;Calçada Martim de Freitas;residential;27.58;Undirected
53;343;Largo de Santana;secondary;39.16;Undirected
170;410;UNAMED;residential;11.3;Undirected
410;363;UNAMED;residential;60.54;Undirected
368;410;UNAMED;residential;25.46;Undirected
330;411;UNAMED;tertiary;9.95;Undirected
411;412;Rua Guarda Inglesa;primary;377.14;Undirected
413;319;Rotunda da Guarda Inglesa;primary;5.11;Undirected
319;147;Rotunda da Guarda Inglesa;primary;61.37;Undirected
147;311;Rotunda da Guarda Inglesa;primary;12.32;Undirected
311;393;Rotunda da Guarda Inglesa;primary;21.9;Undirected
393;411;Rotunda da Guarda Inglesa;primary;75.25;Undirected
411;413;Rotunda da Guarda Inglesa;primary;18.36;Undirected
414;397;Avenida Emídio Navarro;secondary;14.56;Undirected
81;414;Avenida Emídio Navarro;secondary;157.16;Undirected
209;210;UNAMED;tertiary;13.67;Undirected
210;115;UNAMED;tertiary;36.48;Undirected
122;415;Ponte de Santa Clara;secondary;16.14;Undirected
394;416;Avenida João das Regras;secondary;40.27;Undirected
416;121;Avenida João das Regras;secondary;17.77;Undirected
417;257;Avenida Emídio Navarro;secondary;25.84;Undirected
399;417;Avenida Emídio Navarro;secondary;23.49;Undirected
381;77;Avenida Emídio Navarro;secondary;105.9;Undirected
77;79;Avenida Emídio Navarro;secondary;332.72;Undirected
418;419;UNAMED;tertiary;2.11;Undirected
