Source;Target;Label;Highway;Length;Type
407;408;Praça do Príncipe Real;residential;59.22;Undirected
406;409;Rua do Jasmim;residential;45.12;Undirected
409;410;Rua do Jasmim;residential;91.85;Undirected
397;411;Travessa do Abarracamento de Peniche;residential;120.12;Undirected
412;413;Travessa do Terreiro a Santa Catarina;residential;37.99;Undirected
414;415;Travessa do Caldeira;residential;61.8;Undirected
372;416;Rua dos Cordoeiros;residential;124.75;Undirected
417;418;Rua Nova do Loireiro;residential;123.67;Undirected
418;419;Rua Nova do Loireiro;residential;51.44;Undirected
419;420;Rua Nova do Loireiro;residential;96.57;Undirected
421;422;Rua da Vinha;residential;159.37;Undirected
403;423;Travessa das Mercês;residential;82.3;Undirected
423;348;Travessa das Mercês;residential;32.21;Undirected
348;306;Travessa das Mercês;residential;34.47;Undirected
399;424;Calçada do Tijolo;residential;32.05;Undirected
424;419;Calçada do Tijolo;residential;30.9;Undirected
424;425;UNAMED;residential;101.59;Undirected
426;427;Rua dos Caetanos;residential;103.78;Undirected
427;423;Rua dos Caetanos;residential;45.52;Undirected
428;429;Calçada do Conde de Penafiel;residential;74.69;Undirected
429;430;Calçada do Conde de Penafiel;residential;42.24;Undirected
431;432;Rua do Regedor;residential;83.53;Undirected
431;433;Largo do Chão do Loureiro;residential;37.0;Undirected
433;434;Largo do Chão do Loureiro;residential;9.14;Undirected
432;435;Largo de São Cristóvão;residential;23.3;Undirected
435;436;Beco da Atafona;residential;30.54;Undirected
437;438;Rua de Santiago;residential;26.06;Undirected
439;440;Travessa do Funil;residential;56.02;Undirected
441;442;Rua das Damas;residential;81.5;Undirected
443;444;Cruzes da Sé;residential;129.23;Undirected
445;446;Rua do Barão;residential;169.58;Undirected
18;447;Rua do Instituto Bacteriológico;residential;92.45;Undirected
448;449;Rua Câmara Pestana;residential;75.06;Undirected
449;450;Rua Câmara Pestana;residential;23.54;Undirected
451;452;Rua Manuel Bento de Sousa;tertiary;110.19;Undirected
453;451;Rua Manuel Bento de Sousa;tertiary;95.79;Undirected
67;454;Rua dos Condes;residential;75.38;Undirected
